"Åñ Sorted by Index Futures,JGB Futures, Index Options (Put, Call), Options on 10-year JGB futures, Individual Options each in contract month numerical order.",,,,,,,,,,,
"Åñ ""Theoretical price"" is used in calculating the price range of J-NET trading until 4 p.m. of the trading day.",,,,,,,,,,,
Issue Code,Issue Name,PutÅ^Call,Contract Month,Strike Price,Settlement Price,Theoretical Price,Underlying Index,Volatility ,Interest Rate,Days until Maturity,Underlying Name
162120076,FUT_RNP_1712,,201712,,1021.5,1021.3,1042.45,,0.1282,407,RNP
161120017,FUT_NKDIV_1612,,201612,,325.4,,,,,158,Nikkei Stock Average Dividend Point Index
162120017,FUT_NKDIV_1712,,201712,,330,,,,,522,Nikkei Stock Average Dividend Point Index
163120017,FUT_NKDIV_1812,,201812,,340.4,,,,,886,Nikkei Stock Average Dividend Point Index
164120017,FUT_NKDIV_1912,,201912,,343.2,,,,,1252,Nikkei Stock Average Dividend Point Index
165120017,FUT_NKDIV_2012,,202012,,347.5,,,,,1617,Nikkei Stock Average Dividend Point Index
166120017,FUT_NKDIV_2112,,202112,,340.7,,,,,1982,Nikkei Stock Average Dividend Point Index
167120017,FUT_NKDIV_2212,,202212,,342.2,,,,,2349,Nikkei Stock Average Dividend Point Index
168120017,FUT_NKDIV_2312,,202312,,353.3,,,,,2713,Nikkei Stock Average Dividend Point Index
161120008,FUT_TPDIV_1612,,201612,,29.86,,,,,158,TOPIX Dividend Index
162120008,FUT_TPDIV_1712,,201712,,30.4,,,,,522,TOPIX Dividend Index
163120008,FUT_TPDIV_1812,,201812,,29.93,,,,,886,TOPIX Dividend Index
164120008,FUT_TPDIV_1912,,201912,,29.57,,,,,1252,TOPIX Dividend Index
165120008,FUT_TPDIV_2012,,202012,,29.23,,,,,1617,TOPIX Dividend Index
166120008,FUT_TPDIV_2112,,202112,,29.17,,,,,1982,TOPIX Dividend Index
167120008,FUT_TPDIV_2212,,202212,,29.16,,,,,2349,TOPIX Dividend Index
168120008,FUT_TPDIV_2312,,202312,,31.84,,,,,2713,TOPIX Dividend Index
161120064,FUT_T30D_1612,,201612,,16.72,,,,,158,TOPIX Core30 Dividend Index
162120064,FUT_T30D_1712,,201712,,16.52,,,,,522,TOPIX Core30 Dividend Index
163120064,FUT_T30D_1812,,201812,,15.76,,,,,886,TOPIX Core30 Dividend Index
164120064,FUT_T30D_1912,,201912,,15,,,,,1252,TOPIX Core30 Dividend Index
165120064,FUT_T30D_2012,,202012,,14.86,,,,,1617,TOPIX Core30 Dividend Index
166120064,FUT_T30D_2112,,202112,,14.77,,,,,1982,TOPIX Core30 Dividend Index
167120064,FUT_T30D_2212,,202212,,14.67,,,,,2349,TOPIX Core30 Dividend Index
168120064,FUT_T30D_2312,,202312,,16.47,,,,,2713,TOPIX Core30 Dividend Index
161120001,FUT_JGBL_1612,,201612,,151.8,,,,,54,10-year JGB
162030001,FUT_JGBL_1703,,201703,,151.7,,,,,145,10-year JGB
162060001,FUT_JGBL_1706,,201706,,151.59,,,,,236,10-year JGB
161120007,FUT_JGBLM_1612,,201612,,151.8,,,,,47,10-year JGB
162030007,FUT_JGBLM_1703,,201703,,151.7,,,,,137,10-year JGB
162060007,FUT_JGBLM_1706,,201706,,151.59,,,,,229,10-year JGB
161120004,FUT_JGBM_1612,,201612,,113.6,,,,,54,5-year JGB
162030004,FUT_JGBM_1703,,201703,,113.6,,,,,145,5-year JGB
162060004,FUT_JGBM_1706,,201706,,113.62,,,,,236,5-year JGB
161120002,FUT_JGBSL_1612,,201612,,162.05,,,,,54,20-year JGB
162030002,FUT_JGBSL_1703,,201703,,161.31,,,,,145,20-year JGB
162060002,FUT_JGBSL_1706,,201706,,160.17,,,,,236,20-year JGB
161120011,FUT_MOTHE_1612,,201612,,936.5,936.3,936.27,,0.03,43,TSE Mothers
162030011,FUT_MOTHE_1703,,201703,,936,936,936.27,,0.1064,134,TSE Mothers
162060011,FUT_MOTHE_1706,,201706,,934.5,934.4,936.27,,0.1282,225,TSE Mothers
162090011,FUT_MOTHE_1709,,201709,,934.5,934.5,936.27,,0.1282,316,TSE Mothers
162120011,FUT_MOTHE_1712,,201712,,933.5,933.4,936.27,,0.1282,407,TSE Mothers
161110078,FUT_TAIEX_1611,,201611,,9155,,9299.55,,,20,TAIEX
161120078,FUT_TAIEX_1612,,201612,,9116,,9299.55,,,55,TAIEX
162030078,FUT_TAIEX_1703,,201703,,9072,,9299.55,,,139,TAIEX
162060078,FUT_TAIEX_1706,,201706,,9072,,9299.55,,,237,TAIEX
162090078,FUT_TAIEX_1709,,201709,,9072,,9299.55,,,328,TAIEX
161100079,FUT_FTC50_1610,,201610,,16190,,16252.47,,,4,FTSE China 50
161110079,FUT_FTC50_1611,,201611,,16190,,16252.47,,,34,FTSE China 50
161120079,FUT_FTC50_1612,,201612,,16160,,16252.47,,,64,FTSE China 50
162030079,FUT_FTC50_1703,,201703,,16160,,16252.47,,,155,FTSE China 50
161110015,FUT_NKVI_1611,,201611,,17.9,,18.51,,,13,Nikkei 225 VI 
161120015,FUT_NKVI_1612,,201612,,20.45,,18.51,,,48,Nikkei 225 VI 
162010015,FUT_NKVI_1701,,201701,,17,,18.51,,,76,Nikkei 225 VI 
162020015,FUT_NKVI_1702,,201702,,17.7,,18.51,,,104,Nikkei 225 VI 
162030015,FUT_NKVI_1703,,201703,,18.05,,18.51,,,139,Nikkei 225 VI 
162040015,FUT_NKVI_1704,,201704,,18.4,,18.51,,,167,Nikkei 225 VI 
162050015,FUT_NKVI_1705,,201705,,18.5,,18.51,,,195,Nikkei 225 VI 
162060015,FUT_NKVI_1706,,201706,,18.55,,18.51,,,230,Nikkei 225 VI 
141111018,CAL_NK225_161111_11000,CAL,201611,11000,6340,6336,17336.42,30.5785,0.0091,15,Nikkei 225
141111218,CAL_NK225_161111_11250,CAL,201611,11250,6090,6086,17336.42,30.5785,0.0091,15,Nikkei 225
141111518,CAL_NK225_161111_11500,CAL,201611,11500,5840,5836,17336.42,30.5785,0.0091,15,Nikkei 225
141111718,CAL_NK225_161111_11750,CAL,201611,11750,5590,5586,17336.42,30.5785,0.0091,15,Nikkei 225
141112018,CAL_NK225_161111_12000,CAL,201611,12000,5340,5336,17336.42,30.5785,0.0091,15,Nikkei 225
141112218,CAL_NK225_161111_12250,CAL,201611,12250,5090,5086,17336.42,30.5785,0.0091,15,Nikkei 225
141112518,CAL_NK225_161111_12500,CAL,201611,12500,4840,4836,17336.42,30.5785,0.0091,15,Nikkei 225
141112718,CAL_NK225_161111_12750,CAL,201611,12750,4590,4586,17336.42,30.5785,0.0091,15,Nikkei 225
141113018,CAL_NK225_161111_13000,CAL,201611,13000,4340,4336,17336.42,30.5785,0.0091,15,Nikkei 225
141113218,CAL_NK225_161111_13250,CAL,201611,13250,4090,4086,17336.42,30.5785,0.0091,15,Nikkei 225
141113518,CAL_NK225_161111_13500,CAL,201611,13500,3840,3836,17336.42,30.5785,0.0091,15,Nikkei 225
141113718,CAL_NK225_161111_13750,CAL,201611,13750,3590,3586,17336.42,30.5785,0.0091,15,Nikkei 225
141114018,CAL_NK225_161111_14000,CAL,201611,14000,3340,3337,17336.42,30.5785,0.0091,15,Nikkei 225
141114218,CAL_NK225_161111_14250,CAL,201611,14250,3090,3087,17336.42,30.5785,0.0091,15,Nikkei 225
141114318,CAL_NK225_161111_14375,CAL,201611,14375,2970,2962,17336.42,30.5785,0.0091,15,Nikkei 225
141114518,CAL_NK225_161111_14500,CAL,201611,14500,2840,2837,17336.42,30.5785,0.0091,15,Nikkei 225
141114618,CAL_NK225_161111_14625,CAL,201611,14625,2720,2712,17336.42,30.5785,0.0091,15,Nikkei 225
141114718,CAL_NK225_161111_14750,CAL,201611,14750,2590,2588,17336.42,30.5785,0.0091,15,Nikkei 225
141114818,CAL_NK225_161111_14875,CAL,201611,14875,2470,2464,17336.42,30.5785,0.0091,15,Nikkei 225
141115018,CAL_NK225_161111_15000,CAL,201611,15000,2340,2340,17336.42,30.5785,0.0091,15,Nikkei 225
141115118,CAL_NK225_161111_15125,CAL,201611,15125,2220,2216,17336.42,30.5785,0.0091,15,Nikkei 225
141115218,CAL_NK225_161111_15250,CAL,201611,15250,2100,2094,17336.42,30.5785,0.0091,15,Nikkei 225
141115318,CAL_NK225_161111_15375,CAL,201611,15375,1980,1972,17336.42,30.5785,0.0091,15,Nikkei 225
141115518,CAL_NK225_161111_15500,CAL,201611,15500,1860,1851,17336.42,30.5785,0.0091,15,Nikkei 225
141115618,CAL_NK225_161111_15625,CAL,201611,15625,1730,1723,17336.42,27.7036,0.0091,15,Nikkei 225
141115718,CAL_NK225_161111_15750,CAL,201611,15750,1600,1594,17336.42,23.9344,0.0091,15,Nikkei 225
141115818,CAL_NK225_161111_15875,CAL,201611,15875,1480,1472,17336.42,23.6292,0.0091,15,Nikkei 225
141116018,CAL_NK225_161111_16000,CAL,201611,16000,1360,1351,17336.42,23.3854,0.0091,15,Nikkei 225
141116118,CAL_NK225_161111_16125,CAL,201611,16125,1240,1233,17336.42,23.3854,0.0091,15,Nikkei 225
141116218,CAL_NK225_161111_16250,CAL,201611,16250,1110,1109,17336.42,21.6103,0.0091,15,Nikkei 225
141116318,CAL_NK225_161111_16375,CAL,201611,16375,995,995,17336.42,21.6248,0.0091,15,Nikkei 225
141116518,CAL_NK225_161111_16500,CAL,201611,16500,885,885,17336.42,21.6613,0.0091,15,Nikkei 225
141116618,CAL_NK225_161111_16625,CAL,201611,16625,725,723,17336.42,13.3016,0.0091,15,Nikkei 225
141116718,CAL_NK225_161111_16750,CAL,201611,16750,600,599,17336.42,11.4446,0.0091,15,Nikkei 225
141116818,CAL_NK225_161111_16875,CAL,201611,16875,555,553,17336.42,18.7707,0.0091,15,Nikkei 225
141117018,CAL_NK225_161111_17000,CAL,201611,17000,455,455,17336.42,18.1368,0.0091,15,Nikkei 225
141117118,CAL_NK225_161111_17125,CAL,201611,17125,370,370,17336.42,17.9532,0.0091,15,Nikkei 225
141117218,CAL_NK225_161111_17250,CAL,201611,17250,275,275,17336.42,16.3865,0.0091,15,Nikkei 225
141117318,CAL_NK225_161111_17375,CAL,201611,17375,205,205,17336.42,15.9402,0.0091,15,Nikkei 225
141117518,CAL_NK225_161111_17500,CAL,201611,17500,145,145,17336.42,15.4071,0.0091,15,Nikkei 225
141117618,CAL_NK225_161111_17625,CAL,201611,17625,100,100,17336.42,15.1405,0.0091,15,Nikkei 225
141117718,CAL_NK225_161111_17750,CAL,201611,17750,65,65,17336.42,14.812,0.0091,15,Nikkei 225
141117818,CAL_NK225_161111_17875,CAL,201611,17875,39,39,17336.42,14.3942,0.0091,15,Nikkei 225
141118018,CAL_NK225_161111_18000,CAL,201611,18000,24,24,17336.42,14.3756,0.0091,15,Nikkei 225
141118118,CAL_NK225_161111_18125,CAL,201611,18125,14,14,17336.42,14.3184,0.0091,15,Nikkei 225
141118218,CAL_NK225_161111_18250,CAL,201611,18250,8,8,17336.42,14.331,0.0091,15,Nikkei 225
141118318,CAL_NK225_161111_18375,CAL,201611,18375,5,5,17336.42,14.6405,0.0091,15,Nikkei 225
141118518,CAL_NK225_161111_18500,CAL,201611,18500,3,3,17336.42,14.8721,0.0091,15,Nikkei 225
141118618,CAL_NK225_161111_18625,CAL,201611,18625,2,2,17336.42,15.3264,0.0091,15,Nikkei 225
141118718,CAL_NK225_161111_18750,CAL,201611,18750,2,2,17336.42,16.5598,0.0091,15,Nikkei 225
141118818,CAL_NK225_161111_18875,CAL,201611,18875,2,1,17336.42,16.7551,0.0091,15,Nikkei 225
141119018,CAL_NK225_161111_19000,CAL,201611,19000,2,1,17336.42,17.6767,0.0091,15,Nikkei 225
141119118,CAL_NK225_161111_19125,CAL,201611,19125,1,1,17336.42,17.6767,0.0091,15,Nikkei 225
141119218,CAL_NK225_161111_19250,CAL,201611,19250,1,0,17336.42,18.2459,0.0091,15,Nikkei 225
141119318,CAL_NK225_161111_19375,CAL,201611,19375,1,0,17336.42,18.3788,0.0091,15,Nikkei 225
141119518,CAL_NK225_161111_19500,CAL,201611,19500,1,0,17336.42,18.9,0.0091,15,Nikkei 225
141119718,CAL_NK225_161111_19750,CAL,201611,19750,1,0,17336.42,20.8652,0.0091,15,Nikkei 225
141110018,CAL_NK225_161111_20000,CAL,201611,20000,1,0,17336.42,22.7297,0.0091,15,Nikkei 225
141110218,CAL_NK225_161111_20250,CAL,201611,20250,1,0,17336.42,24.2844,0.0091,15,Nikkei 225
141110518,CAL_NK225_161111_20500,CAL,201611,20500,1,0,17336.42,24.2844,0.0091,15,Nikkei 225
141110718,CAL_NK225_161111_20750,CAL,201611,20750,1,0,17336.42,25.9433,0.0091,15,Nikkei 225
191111018,CAL_NK225_161111_21000,CAL,201611,21000,1,0,17336.42,25.9433,0.0091,15,Nikkei 225
191111218,CAL_NK225_161111_21250,CAL,201611,21250,1,0,17336.42,25.9433,0.0091,15,Nikkei 225
191111518,CAL_NK225_161111_21500,CAL,201611,21500,1,0,17336.42,25.9433,0.0091,15,Nikkei 225
141124518,CAL_NK225_161209_4500,CAL,201612,4500,12840,12837,17336.42,99.3476,0.03,43,Nikkei 225
141125018,CAL_NK225_161209_5000,CAL,201612,5000,12340,12337,17336.42,88.6705,0.03,43,Nikkei 225
141125518,CAL_NK225_161209_5500,CAL,201612,5500,11840,11837,17336.42,82.9457,0.03,43,Nikkei 225
141126018,CAL_NK225_161209_6000,CAL,201612,6000,11340,11337,17336.42,77.4611,0.03,43,Nikkei 225
141126518,CAL_NK225_161209_6500,CAL,201612,6500,10840,10837,17336.42,75.6165,0.03,43,Nikkei 225
141127018,CAL_NK225_161209_7000,CAL,201612,7000,10340,10337,17336.42,73.7565,0.03,43,Nikkei 225
141127518,CAL_NK225_161209_7500,CAL,201612,7500,9840,9837,17336.42,72.4252,0.03,43,Nikkei 225
141128018,CAL_NK225_161209_8000,CAL,201612,8000,9340,9337,17336.42,21.745,0.03,43,Nikkei 225
141128518,CAL_NK225_161209_8500,CAL,201612,8500,8840,8837,17336.42,21.745,0.03,43,Nikkei 225
141129018,CAL_NK225_161209_9000,CAL,201612,9000,8340,8337,17336.42,21.745,0.03,43,Nikkei 225
141129218,CAL_NK225_161209_9250,CAL,201612,9250,8090,8087,17336.42,21.745,0.03,43,Nikkei 225
141129518,CAL_NK225_161209_9500,CAL,201612,9500,7840,7837,17336.42,21.745,0.03,43,Nikkei 225
141129718,CAL_NK225_161209_9750,CAL,201612,9750,7590,7587,17336.42,21.745,0.03,43,Nikkei 225
